Recency,Frequency,AIT,Average Order Value,is_using_app,has_acc_manager,Cross_category_Count,Avg_Spend_Last_90,Spending_Velocity,probability_alive,T,churn_label,price_group,item_category,Monetary,Is_credit_limit
100,95,10.702127659574469,54812.39090909091,No,Yes,10,29241.81818181818,0.5334891928052764,0.5338205734284739,1087.0,0,SEG_1,CAT_1,24288515.393494315,1
92,70,14.81159420289855,18910.58333333333,No,Yes,10,22332.33333333333,1.1809436514826357,0.8712185852135871,1095.0,0,SEG_2,CAT_2,8531163.024078742,1
88,19,53.61111111111112,39324.5,No,Yes,7,13276.0,0.3376012409566555,0.963891811066065,1034.0,0,SEG_1,CAT_3,4619661.771205894,0
567,20,25.789473684210527,55912.05172413793,No,Yes,8,,0.0,0.0004771839199692,1038.0,1,SEG_1,CAT_3,14574184.895713534,0
112,11,90.6,8838.416666666666,Yes,Yes,2,32340.0,3.65902640933048,0.9550865963455804,999.0,0,SEG_1,CAT_1,828703.5797792441,0
93,102,9.96039603960396,44632.35099337749,No,Yes,10,44218.357142857145,0.9907243548388978,0.4088642380556202,1080.0,0,SEG_1,CAT_3,27080673.20476468,1
93,199,5.095959595959596,66643.58844765343,Yes,Yes,14,47011.958333333336,0.7054235737959975,0.018855177862461,1083.0,0,SEG_3,CAT_4,59891002.23214479,1
93,199,5.095959595959596,66643.58844765343,Yes,Yes,14,47011.958333333336,0.7054235737959975,0.018855177862461,1083.0,0,SEG_3,CAT_4,60843262.9508478,1
119,21,44.05,181949.91176470587,Yes,Yes,7,45325.4,0.2491092167091234,0.9335573329931182,981.0,1,SEG_2,CAT_3,24683945.401718374,0
127,63,15.82258064516129,76224.10062893081,Yes,Yes,10,76948.92452830188,1.0095091171085062,0.534383458804399,1089.0,0,SEG_3,CAT_3,43047196.20750832,1
333,19,37.94444444444444,14199.76,No,Yes,5,,0.0,0.2578389967695586,997.0,1,SEG_1,CAT_5,1997064.34400312,0
113,20,36.73684210526316,51114.13157894737,No,Yes,8,30845.666666666668,0.6034665113898018,0.9169885248085806,792.0,1,SEG_1,CAT_4,9033377.776157288,0
118,18,57.47058823529412,11731.7,Yes,Yes,6,24574.25,2.094687896894738,0.9463599050047972,1076.0,1,SEG_1,CAT_3,1452682.9444054589,0
158,15,65.28571428571429,18850.0,No,Yes,6,8685.0,0.4607427055702918,0.915247075791574,1053.0,0,SEG_2,CAT_5,2094346.0514147405,0
127,9,99.75,11640.4,No,Yes,9,3191.0,0.2741314731452527,0.9447414664054028,906.0,1,SEG_1,CAT_3,1160026.9486969234,0
